City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
196,Punta Arenas,CL,2021-05-29 22:03:49,-53.15,-70.9167,35.11,55,90,19.08
197,Nizhnekamsk,RU,2021-05-29 22:03:50,55.6366,51.8245,65.19,77,40,1.61
198,Saint Anthony,US,2021-05-29 21:59:34,45.0205,-93.218,67.78,37,40,3.0
199,Birjand,IR,2021-05-29 22:03:50,32.8663,59.2211,74.41,21,0,8.52
200,Tuatapere,NZ,2021-05-29 22:03:51,-46.1333,167.6833,49.82,92,100,8.93
201,Lavrentiya,RU,2021-05-29 22:03:51,65.5833,-171.0,33.71,82,6,7.65
202,Tasiilaq,GL,2021-05-29 22:03:51,65.6145,-37.6368,37.56,93,100,12.73
203,Narsaq,GL,2021-05-29 22:03:52,60.9167,-46.05,43.02,85,100,4.94
204,Hailar,CN,2021-05-29 22:03:52,49.2,119.7,55.74,52,100,2.01
205,Alta Floresta,BR,2021-05-29 22:00:33,-9.8756,-56.0861,74.98,69,4,4.47
206,Ulaanbaatar,MN,2021-05-29 22:03:39,47.9077,106.8832,39.33,75,40,4.63
207,Arraial Do Cabo,BR,2021-05-29 22:03:53,-22.9661,-42.0278,75.09,83,74,13.62
208,Bambous Virieux,MU,2021-05-29 22:03:53,-20.3428,57.7575,74.21,82,40,5.82
209,Faya,SA,2021-05-29 22:03:53,18.3851,42.4509,70.79,38,100,0.83
210,Los Llanos De Aridane,ES,2021-05-29 22:03:54,28.6585,-17.9182,65.95,91,0,11.95
211,Saint-Francois,FR,2021-05-29 22:03:54,46.4154,3.9054,59.68,65,0,4.61
212,Kemijarvi,FI,2021-05-29 22:03:55,66.7131,27.4306,38.12,68,38,2.39
213,Dingzhou,CN,2021-05-29 22:03:55,38.5131,114.9956,62.04,47,100,5.28
214,Lompoc,US,2021-05-29 22:03:55,34.6391,-120.4579,71.02,68,75,19.57
215,Nanortalik,GL,2021-05-29 22:03:56,60.1432,-45.2371,36.82,87,100,5.99
216,Cabra,ES,2021-05-29 22:03:56,37.4725,-4.4421,78.91,51,42,6.26
217,Port Augusta,AU,2021-05-29 22:03:57,-32.5,137.7667,43.7,59,0,2.55
218,Iqaluit,CA,2021-05-29 22:03:57,63.7506,-68.5145,38.34,55,4,16.15
219,Bud,US,2021-05-29 22:03:57,39.447,-86.1758,63.91,60,79,11.9
220,Huarmey,PE,2021-05-29 22:03:58,-10.0681,-78.1522,67.23,84,55,7.81
221,Westerland,DE,2021-05-29 22:03:58,54.9079,8.3033,49.93,100,90,9.22
222,Adrar,MR,2021-05-29 22:03:59,20.5022,-10.0711,94.69,11,88,10.74
223,Kutum,SD,2021-05-29 22:03:59,14.2,24.6667,81.43,11,30,13.44
224,Victoria,HK,2021-05-29 22:01:53,22.2855,114.1577,85.96,89,96,1.01
225,Pacific Grove,US,2021-05-29 22:03:59,36.6177,-121.9166,80.06,82,90,5.99
226,Bandrele,YT,2021-05-29 22:04:00,-12.9067,45.1914,78.55,78,0,6.53
227,Saldanha,ZA,2021-05-29 22:04:00,-33.0117,17.9442,58.35,84,9,6.73
228,Abu Kamal,SY,2021-05-29 22:04:01,34.4506,40.9171,81.48,24,0,11.61
229,Sarakhs,IR,2021-05-29 22:04:01,36.5449,61.1577,83.14,16,0,2.84
230,Gigmoto,PH,2021-05-29 22:04:01,13.7796,124.39,81.73,83,100,1.39
231,Shupiyan,IN,2021-05-29 22:04:02,33.7167,74.8333,53.29,72,6,2.73
232,Jinan,CN,2021-05-29 21:59:19,36.6683,116.9972,66.27,50,4,3.94
233,Lar,IN,2021-05-29 22:04:02,26.2039,83.9717,82.17,76,85,7.14
234,Cayenne,GF,2021-05-29 22:04:03,4.9333,-52.3333,80.64,87,75,1.99
235,Vao,NC,2021-05-29 22:04:03,-22.6667,167.4833,68.41,64,99,20.22
236,Tiksi,RU,2021-05-29 22:04:03,71.6872,128.8694,32.52,94,83,10.45
