City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
31,New Norfolk,AU,-42.7826,147.0587,53.89,71,100,3.33,overcast clouds
32,Atuona,PF,-9.8,-139.0333,78.84,72,92,9.48,light rain
33,Mataura,NZ,-46.1927,168.8643,49.48,88,55,2.73,broken clouds
34,East London,ZA,-33.0153,27.9116,58.12,87,82,12.8,light rain
35,Rockhampton,AU,-23.3833,150.5,64.29,68,75,6.91,broken clouds
36,Zhigansk,RU,66.7697,123.3711,55.45,53,78,4.21,broken clouds
37,Lebu,CL,-37.6167,-73.65,57.24,99,100,9.8,light rain
38,Kodiak,US,57.79,-152.4072,47.71,87,90,17.27,moderate rain
39,Provideniya,RU,64.3833,-173.3,46.51,57,0,11.18,clear sky
40,Kondinskoye,RU,59.6481,67.41,37.35,83,2,6.64,clear sky
41,Jamestown,US,42.097,-79.2353,67.32,39,1,5.01,clear sky
42,Yulara,AU,-25.2406,130.9889,60.64,62,62,3.78,broken clouds
43,Albany,US,42.6001,-73.9662,66.74,67,56,6.22,broken clouds
44,Ushuaia,AR,-54.8,-68.3,29.44,95,79,2.84,light snow
45,Hilo,US,19.7297,-155.09,91.27,94,19,5.99,moderate rain
46,Saskylakh,RU,71.9167,114.0833,39.09,97,100,15.05,moderate rain
47,Plastun,RU,44.7561,136.2939,51.62,85,65,2.1,broken clouds
48,Sioux Lookout,CA,50.1001,-91.917,70.21,31,60,6.31,broken clouds
49,Naze,JP,28.3667,129.4833,74.32,70,53,19.84,broken clouds
50,Busselton,AU,-33.65,115.3333,51.08,89,43,7.49,scattered clouds
51,Acapulco,MX,16.8634,-99.8901,87.75,61,58,7.4,broken clouds
52,Kapaa,US,22.0752,-159.319,82.11,71,44,1.99,scattered clouds
53,Bambous Virieux,MU,-20.3428,57.7575,70.21,75,6,7.36,clear sky
54,Hamada,JP,34.8833,132.0833,69.01,55,32,1.77,scattered clouds
55,Hurghada,EG,27.2574,33.8129,93.24,20,0,11.5,clear sky
56,Fairbanks,US,64.8378,-147.7164,68.41,37,93,1.5,overcast clouds
57,Codrington,AU,-38.2667,141.9667,48.78,46,99,11.72,overcast clouds
58,Orlik,RU,52.5178,99.825,30.07,79,13,2.21,few clouds
59,Nikolskoye,RU,59.7035,30.7861,49.89,94,100,4.41,overcast clouds
60,Pevek,RU,69.7008,170.3133,39.67,70,4,4.63,clear sky
61,Guaratinga,BR,-16.5667,-39.5667,75.87,92,76,2.04,broken clouds
62,Zapolyarnyy,RU,69.4154,30.8136,42.08,93,100,14.9,overcast clouds
63,Hami,CN,42.8,93.45,68.79,15,31,10.58,scattered clouds
64,Cururupu,BR,-1.8283,-44.8683,75.29,89,22,2.8,few clouds
65,Port Alfred,ZA,-33.5906,26.891,58.96,83,94,11.77,light rain
66,Faanui,PF,-16.4833,-151.75,78.3,67,38,13.73,scattered clouds
67,Biak,ID,-0.9131,122.8766,77.86,83,82,5.53,broken clouds
68,Piterka,RU,50.6803,47.4454,57.16,89,58,10.89,broken clouds
69,Viedma,AR,-40.8135,-62.9967,55.9,79,98,16.17,overcast clouds
